date,VWC5,EV24,FG,Q,rd,SQ,TN,TX,UG,LAI,Crop,BOFEK,VWC5_lag,VWC5_lag3,VWC5_lag40,EV24_lag,FG_lag,Q_lag,rd_lag,SQ_lag,TN_lag,TX_lag,UG_lag,LAI_lag,DOY,year,date_encoded,VWC5_lag_imputed,VWC5_lag3_imputed,VWC5_lag40_imputed,rd_imputed,rd_lag_imputed
2016-05-09,0.2576,4.59,432.98,25.12,0.0,12.31,13.58,25.7,50.47,1.5625,chicory,317,,,,4.88,424.48,26.71,0.0,14.45,12.43,25.64,44.46,1.7,130,2016,130,0.2275,0.2116,0.3116,0.0,0.0
2016-05-10,0.2548,2.02,258.74,11.39,0.0,1.04,14.77,22.33,66.84,1.425,chicory,317,0.2576,,,4.59,432.98,25.12,0.0,12.31,13.58,25.7,50.47,1.5625,131,2016,131,0.2576,0.2201,0.311,0.0,0.0
2016-05-11,0.2536,4.17,309.55,22.93,0.0,10.74,14.05,26.18,58.52,1.2875,chicory,317,0.2548,,,2.02,258.74,11.39,0.0,1.04,14.77,22.33,66.84,1.425,132,2016,132,0.2548,0.2277,0.3095,0.0,0.0
2016-05-12,0.2509,4.62,427.97,26.23,0.0,13.93,13.49,25.37,51.14,1.15,chicory,317,0.2536,0.2576,,4.17,309.55,22.93,0.0,10.74,14.05,26.18,58.52,1.2875,133,2016,133,0.2536,0.2576,0.307,0.0,0.0
2016-05-13,0.2484,4.39,419.8,25.76,0.1,12.94,8.81,23.97,56.93,1.0125,chicory,317,0.2509,0.2548,,4.62,427.97,26.23,0.0,13.93,13.49,25.37,51.14,1.15,134,2016,134,0.2509,0.2548,0.3034,0.1,0.0
2016-05-14,0.2446,2.39,403.78,16.96,0.0,5.64,5.31,13.29,65.75,0.875,chicory,317,0.2484,0.2536,,4.39,419.8,25.76,0.1,12.94,8.81,23.97,56.93,1.0125,135,2016,135,0.2484,0.2536,0.2987,0.0,0.1
2016-05-15,0.2431,2.72,359.03,19.42,0.0,8.17,4.11,13.38,66.02,0.7375,chicory,317,0.2446,0.2509,,2.39,403.78,16.96,0.0,5.64,5.31,13.29,65.75,0.875,136,2016,136,0.2446,0.2509,0.2932,0.0,0.0
2016-05-16,0.2419,1.94,227.64,13.53,0.0,3.12,2.93,13.4,71.95,0.6,chicory,317,0.2431,0.2484,,2.72,359.03,19.42,0.0,8.17,4.11,13.38,66.02,0.7375,137,2016,137,0.2431,0.2484,0.2875,0.0,0.0
2016-05-17,0.2417,2.01,254.82,13.1,0.0,3.86,7.1,18.8,68.07,0.6875,chicory,317,0.2419,0.2446,,1.94,227.64,13.53,0.0,3.12,2.93,13.4,71.95,0.6,138,2016,138,0.2419,0.2446,0.2821,0.0,0.0
2016-05-18,0.241,2.27,288.11,14.15,2.5,3.5,7.89,20.21,74.7,0.775,chicory,317,0.2417,0.2431,,2.01,254.82,13.1,0.0,3.86,7.1,18.8,68.07,0.6875,139,2016,139,0.2417,0.2431,0.2778,2.5,0.0
2016-05-19,0.2426,2.65,213.68,16.76,0.3,4.44,8.64,18.81,79.34,0.8625,chicory,317,0.241,0.2419,,2.27,288.11,14.15,2.5,3.5,7.89,20.21,74.7,0.775,140,2016,140,0.241,0.2419,0.2751,0.3,2.5
2016-05-20,0.2431,1.33,343.85,8.13,2.7,1.06,9.42,17.64,83.02,0.95,chicory,317,0.2426,0.2417,,2.65,213.68,16.76,0.3,4.44,8.64,18.81,79.34,0.8625,141,2016,141,0.2426,0.2417,0.2743,2.7,0.3
2016-05-21,0.2584,3.57,376.87,20.33,1.6,6.42,11.48,24.04,69.92,1.0375,chicory,317,0.2431,0.241,,1.33,343.85,8.13,2.7,1.06,9.42,17.64,83.02,0.95,142,2016,142,0.2431,0.241,0.2755,1.6,2.7
2016-05-22,0.2566,1.32,261.66,7.72,13.9,0.48,14.42,19.19,84.06,1.125,chicory,317,0.2584,0.2426,,3.57,376.87,20.33,1.6,6.42,11.48,24.04,69.92,1.0375,143,2016,143,0.2584,0.2426,0.2783,13.9,1.6
2016-05-23,0.3056,0.75,384.02,4.88,11.1,0.05,10.6,14.46,93.97,1.2125,chicory,317,0.2566,0.2431,,1.32,261.66,7.72,13.9,0.48,14.42,19.19,84.06,1.125,144,2016,144,0.2566,0.2431,0.2823,11.1,13.9
2016-05-24,0.3175,1.68,299.12,11.08,0.2,0.69,9.78,14.6,78.87,1.3,chicory,317,0.3056,0.2584,,0.75,384.02,4.88,11.1,0.05,10.6,14.46,93.97,1.2125,145,2016,145,0.3056,0.2584,0.2869,0.2,11.1
2016-05-25,0.3168,1.92,139.95,12.3,0.0,2.64,7.65,16.03,83.06,1.425,chicory,317,0.3175,0.2566,,1.68,299.12,11.08,0.2,0.69,9.78,14.6,78.87,1.3,146,2016,146,0.3175,0.2566,0.2912,0.0,0.2
2016-05-26,0.3128,4.0,169.27,24.4,0.0,9.71,6.1,21.46,72.75,1.55,chicory,317,0.3168,0.3056,,1.92,139.95,12.3,0.0,2.64,7.65,16.03,83.06,1.425,147,2016,147,0.3168,0.3056,0.2945,0.0,0.0
2016-05-27,0.3084,3.18,263.44,18.15,3.6,5.78,12.28,21.05,79.13,1.675,chicory,317,0.3128,0.3175,,4.0,169.27,24.4,0.0,9.71,6.1,21.46,72.75,1.55,148,2016,148,0.3128,0.3175,0.2962,3.6,0.0
2016-05-28,0.2971,3.78,178.11,21.62,0.0,6.36,12.41,24.23,77.46,1.8,chicory,317,0.3084,0.3168,,3.18,263.44,18.15,3.6,5.78,12.28,21.05,79.13,1.675,149,2016,149,0.3084,0.3168,0.2954,0.0,3.6
2016-05-29,0.2904,1.44,284.67,8.26,17.8,1.06,13.41,20.29,85.8,1.925,chicory,317,0.2971,0.3128,,3.78,178.11,21.62,0.0,6.36,12.41,24.23,77.46,1.8,150,2016,150,0.2971,0.3128,0.292,17.8,0.0
2016-05-30,0.3157,0.98,324.38,5.61,55.7,0.19,15.32,20.42,93.77,2.05,chicory,317,0.2904,0.3084,,1.44,284.67,8.26,17.8,1.06,13.41,20.29,85.8,1.925,151,2016,151,0.2904,0.3084,0.2855,55.7,17.8
2016-05-31,0.3055,2.65,217.35,15.22,0.5,4.97,13.26,21.99,79.05,2.175,chicory,317,0.3157,0.2971,,0.98,324.38,5.61,55.7,0.19,15.32,20.42,93.77,2.05,152,2016,152,0.3157,0.2971,0.2762,0.5,55.7
2016-06-01,0.2905,1.84,266.6,10.43,3.6,3.26,13.09,24.48,88.01,2.3,chicory,317,0.3055,0.2904,,2.65,217.35,15.22,0.5,4.97,13.26,21.99,79.05,2.175,153,2016,153,0.3055,0.2904,0.2644,3.6,0.5
2016-06-02,0.2844,2.79,342.72,15.79,5.5,2.93,14.5,23.51,85.81,2.2875,chicory,317,0.2905,0.3157,,1.84,266.6,10.43,3.6,3.26,13.09,24.48,88.01,2.3,154,2016,154,0.2905,0.3157,0.2507,5.5,3.6
2016-06-03,0.2709,2.6,186.3,14.81,3.4,4.07,14.35,22.76,88.73,2.275,chicory,317,0.2844,0.3055,,2.79,342.72,15.79,5.5,2.93,14.5,23.51,85.81,2.2875,155,2016,155,0.2844,0.3055,0.236,3.4,5.5
2016-06-04,0.2588,3.71,206.56,20.38,0.0,7.26,13.86,26.64,81.34,2.2625,chicory,317,0.2709,0.2905,,2.6,186.3,14.81,3.4,4.07,14.35,22.76,88.73,2.275,156,2016,156,0.2709,0.2905,0.2213,0.0,3.4
2016-06-05,0.2375,5.1,234.38,27.51,0.0,13.56,13.77,28.0,70.56,2.25,chicory,317,0.2588,0.2844,,3.71,206.56,20.38,0.0,7.26,13.86,26.64,81.34,2.2625,157,2016,157,0.2588,0.2844,0.2077,0.0,0.0
2016-06-06,0.2208,4.86,213.45,26.64,0.0,13.17,12.83,27.04,73.2,2.2375,chicory,317,0.2375,0.2709,,5.1,234.38,27.51,0.0,13.56,13.77,28.0,70.56,2.25,158,2016,158,0.2375,0.2709,0.1962,0.0,0.0
2016-06-07,0.2138,4.06,213.05,21.76,0.0,7.4,15.01,27.04,76.55,2.225,chicory,317,0.2208,0.2588,,4.86,213.45,26.64,0.0,13.17,12.83,27.04,73.2,2.2375,159,2016,159,0.2208,0.2588,0.1877,0.0,0.0
2016-06-08,0.208,4.31,255.28,25.08,0.0,10.26,11.75,23.06,77.72,2.2125,chicory,317,0.2138,0.2375,,4.06,213.05,21.76,0.0,7.4,15.01,27.04,76.55,2.225,160,2016,160,0.2138,0.2375,0.1827,0.0,0.0
2016-06-09,0.2032,4.84,233.59,28.96,0.0,12.88,9.25,21.69,64.94,2.2,chicory,317,0.208,0.2208,,4.31,255.28,25.08,0.0,10.26,11.75,23.06,77.72,2.2125,161,2016,161,0.208,0.2208,0.1814,0.0,0.0
2016-06-10,0.1997,4.16,146.0,24.43,0.0,8.53,8.31,22.44,67.58,2.175,chicory,317,0.2032,0.2138,,4.84,233.59,28.96,0.0,12.88,9.25,21.69,64.94,2.2,162,2016,162,0.2032,0.2138,0.1836,0.0,0.0
2016-06-11,0.1976,3.13,183.88,17.85,0.0,4.02,13.16,22.09,71.78,2.15,chicory,317,0.1997,0.208,,4.16,146.0,24.43,0.0,8.53,8.31,22.44,67.58,2.175,163,2016,163,0.1997,0.208,0.1888,0.0,0.0
2016-06-12,0.2087,2.05,135.72,12.02,16.7,1.1,14.18,21.8,87.04,2.125,chicory,317,0.1976,0.2032,,3.13,183.88,17.85,0.0,4.02,13.16,22.09,71.78,2.15,164,2016,164,0.1976,0.2032,0.1963,16.7,0.0
2016-06-13,0.2867,1.99,275.68,11.92,15.5,1.98,13.83,20.01,91.37,2.1,chicory,317,0.2087,0.1997,,2.05,135.72,12.02,16.7,1.1,14.18,21.8,87.04,2.125,165,2016,165,0.2087,0.1997,0.2049,15.5,16.7
2016-06-14,0.271,2.4,287.03,14.38,5.8,3.99,12.87,20.78,85.31,2.075,chicory,317,0.2867,0.1976,,1.99,275.68,11.92,15.5,1.98,13.83,20.01,91.37,2.1,166,2016,166,0.2867,0.1976,0.2139,5.8,15.5
2016-06-15,0.2947,2.56,181.07,15.55,10.8,4.0,11.39,19.37,87.22,2.05,chicory,317,0.271,0.2087,,2.4,287.03,14.38,5.8,3.99,12.87,20.78,85.31,2.075,167,2016,167,0.271,0.2087,0.2225,10.8,5.8
2016-06-16,0.2811,3.35,151.97,20.17,14.3,6.97,8.41,21.13,80.64,2.025,chicory,317,0.2947,0.2867,,2.56,181.07,15.55,10.8,4.0,11.39,19.37,87.22,2.05,168,2016,168,0.2947,0.2867,0.2299,14.3,10.8
2016-06-17,0.3085,2.0,185.19,12.09,6.4,2.05,12.61,19.56,88.38,2.0,chicory,317,0.2811,0.271,,3.35,151.97,20.17,14.3,6.97,8.41,21.13,80.64,2.025,169,2016,169,0.2811,0.271,0.2359,6.4,14.3
2016-06-18,0.2986,2.33,280.82,14.3,2.3,3.27,12.49,18.74,85.55,2.3125,chicory,317,0.3085,0.2947,0.2576,2.0,185.19,12.09,6.4,2.05,12.61,19.56,88.38,2.0,170,2016,170,0.3085,0.2947,0.2576,2.3,6.4
2016-06-19,0.2809,3.33,214.11,20.18,0.3,6.17,11.77,19.2,73.98,2.625,chicory,317,0.2986,0.2811,0.2548,2.33,280.82,14.3,2.3,3.27,12.49,18.74,85.55,2.3125,171,2016,171,0.2986,0.2811,0.2548,0.3,2.3
2016-06-20,0.2977,1.17,420.05,7.07,17.4,0.48,12.79,18.69,86.31,2.9375,chicory,317,0.2809,0.3085,0.2536,3.33,214.11,20.18,0.3,6.17,11.77,19.2,73.98,2.625,172,2016,172,0.2809,0.3085,0.2536,17.4,0.3
2016-06-21,0.3175,1.93,240.37,11.0,2.3,0.62,15.57,21.02,92.09,3.25,chicory,317,0.2977,0.2986,0.2509,1.17,420.05,7.07,17.4,0.48,12.79,18.69,86.31,2.9375,173,2016,173,0.2977,0.2986,0.2509,2.3,17.4
2016-06-22,0.3015,4.11,220.57,22.31,0.0,9.49,15.35,25.55,79.07,3.5625,chicory,317,0.3175,0.2809,0.2484,1.93,240.37,11.0,2.3,0.62,15.57,21.02,92.09,3.25,174,2016,174,0.3175,0.2809,0.2484,0.0,2.3
2016-06-23,0.2912,4.37,205.91,22.19,19.3,8.13,18.55,31.35,78.31,3.875,chicory,317,0.3015,0.2977,0.2446,4.11,220.57,22.31,0.0,9.49,15.35,25.55,79.07,3.5625,175,2016,175,0.3015,0.2977,0.2446,19.3,0.0
2016-06-24,0.3238,2.76,217.26,14.99,0.0,3.97,15.08,23.83,83.87,4.1875,chicory,317,0.2912,0.3175,0.2431,4.37,205.91,22.19,19.3,8.13,18.55,31.35,78.31,3.875,176,2016,176,0.2912,0.3175,0.2431,0.0,19.3
2016-06-25,0.3126,1.23,177.2,7.5,6.6,1.43,10.97,18.53,89.22,4.5,chicory,317,0.3238,0.3015,0.2419,2.76,217.26,14.99,0.0,3.97,15.08,23.83,83.87,4.1875,177,2016,177,0.3238,0.3015,0.2419,6.6,0.0
2016-06-26,0.3135,2.85,294.66,18.32,4.7,7.5,10.85,19.61,85.44,4.425,chicory,317,0.3126,0.2912,0.2417,1.23,177.2,7.5,6.6,1.43,10.97,18.53,89.22,4.5,178,2016,178,0.3126,0.2912,0.2417,4.7,6.6
2016-06-27,0.3151,1.46,305.42,8.8,6.2,2.36,11.21,17.58,89.72,4.35,chicory,317,0.3135,0.3238,0.241,2.85,294.66,18.32,4.7,7.5,10.85,19.61,85.44,4.425,179,2016,179,0.3135,0.3238,0.241,6.2,4.7
