date,VWC5,EV24,FG,Q,rd,SQ,TN,TX,UG,LAI,Crop,BOFEK,VWC5_lag,VWC5_lag3,VWC5_lag40,EV24_lag,FG_lag,Q_lag,rd_lag,SQ_lag,TN_lag,TX_lag,UG_lag,LAI_lag,DOY,year,date_encoded,VWC5_lag_imputed,VWC5_lag3_imputed,VWC5_lag40_imputed,rd_imputed,rd_lag_imputed
2016-06-28,0.3116,3.59,211.34,20.78,7.9,6.01,10.96,22.78,74.89,4.275,chicory,317,0.3151,0.3126,0.2426,1.46,305.42,8.8,6.2,2.36,11.21,17.58,89.72,4.35,180,2016,180,0.3151,0.3126,0.2426,7.9,6.2
2016-06-29,0.3206,3.01,373.86,17.61,2.2,4.37,13.37,21.04,77.48,4.2,chicory,317,0.3116,0.3135,0.2431,3.59,211.34,20.78,7.9,6.01,10.96,22.78,74.89,4.275,181,2016,181,0.3116,0.3135,0.2431,2.2,7.9
2016-06-30,0.3025,1.62,357.9,9.49,4.7,1.06,14.46,19.67,86.71,4.125,chicory,317,0.3206,0.3151,0.2584,3.01,373.86,17.61,2.2,4.37,13.37,21.04,77.48,4.2,182,2016,182,0.3206,0.3151,0.2584,4.7,2.2
2016-07-01,0.3264,1.54,400.68,8.83,13.8,0.35,14.89,20.88,87.72,4.05,chicory,317,0.3025,0.3116,0.2566,1.62,357.9,9.49,4.7,1.06,14.46,19.67,86.71,4.125,183,2016,183,0.3025,0.3116,0.2566,13.8,4.7
2016-07-02,0.3327,3.35,399.28,20.41,2.4,7.77,9.74,19.16,76.97,3.975,chicory,317,0.3264,0.3206,0.3056,1.54,400.68,8.83,13.8,0.35,14.89,20.88,87.72,4.05,184,2016,184,0.3264,0.3206,0.3056,2.4,13.8
2016-07-03,0.3118,3.47,279.0,20.79,0.6,8.06,10.0,20.46,74.82,3.9,chicory,317,0.3327,0.3025,0.3175,3.35,399.28,20.41,2.4,7.77,9.74,19.16,76.97,3.975,185,2016,185,0.3327,0.3025,0.3175,0.6,2.4
2016-07-04,0.2954,3.49,136.32,20.25,0.0,9.22,9.74,22.38,77.82,3.6375,chicory,317,0.3118,0.3264,0.3168,3.47,279.0,20.79,0.6,8.06,10.0,20.46,74.82,3.9,186,2016,186,0.3118,0.3264,0.3168,0.0,0.6
2016-07-05,0.2863,2.13,387.7,12.72,1.4,4.48,10.12,20.75,82.12,3.375,chicory,317,0.2954,0.3327,0.3128,3.49,136.32,20.25,0.0,9.22,9.74,22.38,77.82,3.6375,187,2016,187,0.2954,0.3327,0.3128,1.4,0.0
2016-07-06,0.2804,3.95,245.35,23.82,0.0,11.13,8.9,20.64,75.16,3.1125,chicory,317,0.2863,0.3118,0.3084,2.13,387.7,12.72,1.4,4.48,10.12,20.75,82.12,3.375,188,2016,188,0.2863,0.3118,0.3084,0.0,1.4
2016-07-07,0.2671,3.73,167.73,21.76,0.0,7.57,7.17,22.38,72.95,2.85,chicory,317,0.2804,0.2954,0.2971,3.95,245.35,23.82,0.0,11.13,8.9,20.64,75.16,3.1125,189,2016,189,0.2804,0.2954,0.2971,0.0,0.0
2016-07-08,0.2529,2.33,309.32,13.14,0.0,2.97,14.52,21.7,76.27,2.5875,chicory,317,0.2671,0.2863,0.2904,3.73,167.73,21.76,0.0,7.57,7.17,22.38,72.95,2.85,190,2016,190,0.2671,0.2863,0.2904,0.0,0.0
2016-07-09,0.243,3.43,265.36,18.88,0.0,4.14,14.58,24.57,76.14,2.325,chicory,317,0.2529,0.2804,0.3157,2.33,309.32,13.14,0.0,2.97,14.52,21.7,76.27,2.5875,191,2016,191,0.2529,0.2804,0.3157,0.0,0.0
2016-07-10,0.2355,4.6,310.67,24.27,0.0,10.16,15.49,29.46,69.62,2.0625,chicory,317,0.243,0.2671,0.3055,3.43,265.36,18.88,0.0,4.14,14.58,24.57,76.14,2.325,192,2016,192,0.243,0.2671,0.3055,0.0,0.0
2016-07-11,0.2276,3.2,468.71,17.86,0.0,6.9,15.41,23.18,66.91,1.8,chicory,317,0.2355,0.2529,0.2905,4.6,310.67,24.27,0.0,10.16,15.49,29.46,69.62,2.0625,193,2016,193,0.2355,0.2529,0.2905,0.0,0.0
2016-07-12,0.223,3.74,290.6,21.82,0.4,7.45,12.52,23.43,76.56,1.8875,chicory,317,0.2276,0.243,0.2844,3.2,468.71,17.86,0.0,6.9,15.41,23.18,66.91,1.8,194,2016,194,0.2276,0.243,0.2844,0.4,0.0
2016-07-13,0.2462,2.21,224.8,13.66,4.3,4.27,9.92,19.11,83.93,1.975,chicory,317,0.223,0.2355,0.2709,3.74,290.6,21.82,0.4,7.45,12.52,23.43,76.56,1.8875,195,2016,195,0.223,0.2355,0.2709,4.3,0.4
2016-07-14,0.2604,3.14,285.99,19.26,0.0,7.24,7.59,19.92,74.64,2.0625,chicory,317,0.2462,0.2276,0.2588,2.21,224.8,13.66,4.3,4.27,9.92,19.11,83.93,1.975,196,2016,196,0.2462,0.2276,0.2588,0.0,4.3
2016-07-15,0.2417,3.29,230.74,19.2,0.0,9.16,9.28,21.78,72.54,2.15,chicory,317,0.2604,0.223,0.2375,3.14,285.99,19.26,0.0,7.24,7.59,19.92,74.64,2.0625,197,2016,197,0.2604,0.223,0.2375,0.0,0.0
2016-07-16,0.2272,2.21,267.45,12.34,0.0,2.53,14.24,24.12,79.45,2.2375,chicory,317,0.2417,0.2462,0.2208,3.29,230.74,19.2,0.0,9.16,9.28,21.78,72.54,2.15,198,2016,198,0.2417,0.2462,0.2208,0.0,0.0
2016-07-17,0.2231,2.37,244.95,13.3,0.6,5.11,13.6,24.68,82.24,2.325,chicory,317,0.2272,0.2604,0.2138,2.21,267.45,12.34,0.0,2.53,14.24,24.12,79.45,2.2375,199,2016,199,0.2272,0.2604,0.2138,0.6,0.0
2016-07-18,0.2204,4.49,159.72,23.98,0.0,11.48,12.36,28.1,72.02,2.4125,chicory,317,0.2231,0.2417,0.208,2.37,244.95,13.3,0.6,5.11,13.6,24.68,82.24,2.325,200,2016,200,0.2231,0.2417,0.208,0.0,0.6
2016-07-19,0.2152,5.18,165.4,26.83,0.0,14.67,12.83,30.63,60.91,2.5,chicory,317,0.2204,0.2272,0.2032,4.49,159.72,23.98,0.0,11.48,12.36,28.1,72.02,2.4125,201,2016,201,0.2204,0.2272,0.2032,0.0,0.0
2016-07-20,0.2116,4.75,266.4,23.95,1.9,11.16,17.89,34.74,62.43,2.3125,chicory,317,0.2152,0.2231,0.1997,5.18,165.4,26.83,0.0,14.67,12.83,30.63,60.91,2.5,202,2016,202,0.2152,0.2231,0.1997,1.9,0.0
2016-07-21,0.2093,4.62,203.33,24.3,13.8,10.81,16.2,28.4,72.72,2.125,chicory,317,0.2116,0.2204,0.1976,4.75,266.4,23.95,1.9,11.16,17.89,34.74,62.43,2.3125,203,2016,203,0.2116,0.2204,0.1976,13.8,1.9
2016-07-22,0.2441,3.02,180.98,16.31,0.3,5.74,17.36,26.18,82.28,1.9375,chicory,317,0.2093,0.2152,0.2087,4.62,203.33,24.3,13.8,10.81,16.2,28.4,72.72,2.125,204,2016,204,0.2093,0.2152,0.2087,0.3,13.8
2016-07-23,0.2441,3.32,208.35,17.78,0.0,5.84,17.84,26.66,83.68,1.75,chicory,317,0.2441,0.2116,0.2867,3.02,180.98,16.31,0.3,5.74,17.36,26.18,82.28,1.9375,205,2016,205,0.2441,0.2116,0.2867,0.0,0.3
2016-07-24,0.2288,2.79,128.42,15.17,0.0,5.11,16.54,26.65,83.14,1.5625,chicory,317,0.2441,0.2093,0.271,3.32,208.35,17.78,0.0,5.84,17.84,26.66,83.68,1.75,206,2016,206,0.2441,0.2093,0.271,0.0,0.0
2016-07-25,0.2167,2.57,213.65,14.06,0.0,3.32,14.68,24.7,80.72,1.375,chicory,317,0.2288,0.2441,0.2947,2.79,128.42,15.17,0.0,5.11,16.54,26.65,83.14,1.5625,207,2016,207,0.2288,0.2441,0.2947,0.0,0.0
2016-07-26,0.2093,3.3,120.83,18.5,0.0,6.02,11.81,24.48,74.17,1.1875,chicory,317,0.2167,0.2441,0.2811,2.57,213.65,14.06,0.0,3.32,14.68,24.7,80.72,1.375,208,2016,208,0.2167,0.2441,0.2811,0.0,0.0
2016-07-27,0.2051,2.93,297.43,16.4,2.5,4.78,14.15,22.77,78.38,1.0,chicory,317,0.2093,0.2288,0.3085,3.3,120.83,18.5,0.0,6.02,11.81,24.48,74.17,1.1875,209,2016,209,0.2093,0.2288,0.3085,2.5,0.0
2016-07-28,0.2044,2.49,234.29,13.86,7.1,3.31,15.88,24.18,83.53,1.2,chicory,317,0.2051,0.2167,0.2986,2.93,297.43,16.4,2.5,4.78,14.15,22.77,78.38,1.0,210,2016,210,0.2051,0.2167,0.2986,7.1,2.5
2016-07-29,0.2098,2.44,311.72,13.84,1.8,3.48,15.17,23.31,82.14,1.4,chicory,317,0.2044,0.2093,0.2809,2.49,234.29,13.86,7.1,3.31,15.88,24.18,83.53,1.2,211,2016,211,0.2044,0.2093,0.2809,1.8,7.1
2016-07-30,0.2092,1.89,218.14,10.77,1.2,1.82,14.08,22.67,86.74,1.6,chicory,317,0.2098,0.2051,0.2977,2.44,311.72,13.84,1.8,3.48,15.17,23.31,82.14,1.4,212,2016,212,0.2098,0.2051,0.2977,1.2,1.8
2016-07-31,0.2082,2.55,213.95,14.86,1.6,5.2,11.64,20.96,81.99,1.8,chicory,317,0.2092,0.2044,0.3175,1.89,218.14,10.77,1.2,1.82,14.08,22.67,86.74,1.6,213,2016,213,0.2092,0.2044,0.3175,1.6,1.2
2016-08-01,0.2168,2.63,215.86,15.46,8.6,5.13,11.25,21.9,80.05,2.0,chicory,317,0.2082,0.2098,0.3015,2.55,213.95,14.86,1.6,5.2,11.64,20.96,81.99,1.8,214,2016,214,0.2082,0.2098,0.3015,8.6,1.6
2016-08-02,0.26,1.03,287.28,6.06,9.9,0.05,13.41,18.28,96.25,2.2,chicory,317,0.2168,0.2092,0.2912,2.63,215.86,15.46,8.6,5.13,11.25,21.9,80.05,2.0,215,2016,215,0.2168,0.2092,0.2912,9.9,8.6
2016-08-03,0.3006,0.73,425.65,4.27,14.3,0.46,15.77,19.45,94.12,2.4,chicory,317,0.26,0.2082,0.3238,1.03,287.28,6.06,9.9,0.05,13.41,18.28,96.25,2.2,216,2016,216,0.26,0.2082,0.3238,14.3,9.9
2016-08-04,0.2893,2.29,378.9,13.2,1.3,3.8,12.8,20.94,81.47,2.6,chicory,317,0.3006,0.2168,0.3126,0.73,425.65,4.27,14.3,0.46,15.77,19.45,94.12,2.4,217,2016,217,0.3006,0.2168,0.3126,1.3,14.3
2016-08-05,0.2727,3.02,269.86,17.64,0.6,7.44,11.52,23.11,80.96,2.65,chicory,317,0.2893,0.26,0.3135,2.29,378.9,13.2,1.3,3.8,12.8,20.94,81.47,2.6,218,2016,218,0.2893,0.26,0.3135,0.6,1.3
2016-08-06,0.2593,2.63,258.33,15.36,0.9,6.15,9.8,23.01,83.73,2.7,chicory,317,0.2727,0.3006,0.3151,3.02,269.86,17.64,0.6,7.44,11.52,23.11,80.96,2.65,219,2016,219,0.2727,0.3006,0.3151,0.9,0.6
2016-08-07,0.2525,2.83,344.79,15.93,0.0,6.05,9.76,23.96,77.67,2.75,chicory,317,0.2593,0.2893,0.3116,2.63,258.33,15.36,0.9,6.15,9.8,23.01,83.73,2.7,220,2016,220,0.2593,0.2893,0.3116,0.0,0.9
2016-08-08,0.2467,2.71,366.94,15.68,0.7,6.14,12.28,22.13,74.33,2.8,chicory,317,0.2525,0.2727,0.3206,2.83,344.79,15.93,0.0,6.05,9.76,23.96,77.67,2.75,221,2016,221,0.2525,0.2727,0.3206,0.7,0.0
2016-08-09,0.2415,2.4,228.84,15.08,2.6,6.58,9.79,19.16,79.74,2.85,chicory,317,0.2467,0.2593,0.3025,2.71,366.94,15.68,0.7,6.14,12.28,22.13,74.33,2.8,222,2016,222,0.2467,0.2593,0.3025,2.6,0.7
2016-08-10,0.2381,2.9,212.08,18.64,0.5,8.38,7.12,17.82,79.53,2.9,chicory,317,0.2415,0.2525,0.3264,2.4,228.84,15.08,2.6,6.58,9.79,19.16,79.74,2.85,223,2016,223,0.2415,0.2525,0.3264,0.5,2.6
2016-08-11,0.2357,0.96,342.94,6.12,6.8,0.35,5.98,15.92,92.79,2.95,chicory,317,0.2381,0.2467,0.3327,2.9,212.08,18.64,0.5,8.38,7.12,17.82,79.53,2.9,224,2016,224,0.2381,0.2467,0.3327,6.8,0.5
2016-08-12,0.2561,2.23,306.76,12.52,0.0,3.73,15.01,23.08,87.11,3.0,chicory,317,0.2357,0.2415,0.3118,0.96,342.94,6.12,6.8,0.35,5.98,15.92,92.79,2.95,225,2016,225,0.2357,0.2415,0.3118,0.0,6.8
2016-08-13,0.2457,2.39,281.65,13.62,0.0,4.23,13.45,22.86,83.53,2.975,chicory,317,0.2561,0.2381,0.2954,2.23,306.76,12.52,0.0,3.73,15.01,23.08,87.11,3.0,226,2016,226,0.2561,0.2381,0.2954,0.0,0.0
2016-08-14,0.2388,2.64,150.48,15.3,0.0,4.24,11.32,22.9,76.62,2.95,chicory,317,0.2457,0.2357,0.2863,2.39,281.65,13.62,0.0,4.23,13.45,22.86,83.53,2.975,227,2016,227,0.2457,0.2357,0.2863,0.0,0.0
2016-08-15,0.2302,3.94,218.43,22.86,0.0,11.82,10.68,22.28,73.87,2.925,chicory,317,0.2388,0.2561,0.2804,2.64,150.48,15.3,0.0,4.24,11.32,22.9,76.62,2.95,228,2016,228,0.2388,0.2561,0.2804,0.0,0.0
2016-08-16,0.2216,3.74,283.86,21.97,0.0,11.5,10.38,22.54,74.82,2.9,chicory,317,0.2302,0.2457,0.2671,3.94,218.43,22.86,0.0,11.82,10.68,22.28,73.87,2.925,229,2016,229,0.2302,0.2457,0.2671,0.0,0.0
2016-08-17,0.2151,4.18,282.34,24.08,0.0,13.21,10.63,24.73,65.23,2.875,chicory,317,0.2216,0.2388,0.2529,3.74,283.86,21.97,0.0,11.5,10.38,22.54,74.82,2.9,230,2016,230,0.2216,0.2388,0.2529,0.0,0.0
