date,VWC5,EV24,FG,Q,rd,SQ,TN,TX,UG,LAI,Crop,BOFEK,VWC5_lag,VWC5_lag3,VWC5_lag40,EV24_lag,FG_lag,Q_lag,rd_lag,SQ_lag,TN_lag,TX_lag,UG_lag,LAI_lag,DOY,year,date_encoded,VWC5_imputed,VWC5_lag_imputed,VWC5_lag3_imputed,VWC5_lag40_imputed,rd_imputed,rd_lag_imputed
2016-05-19,0.1118,2.6,223.2,16.43,0.3,4.12,8.78,18.68,80.29,2.0,grass,409,0.0829,0.0805,,2.25,295.91,14.06,3.7,3.51,7.65,20.04,74.56,1.4,140,2016,140,0.1118,0.0829,0.0805,0.3715,0.3,3.7
2016-05-20,0.1165,1.34,361.58,8.23,4.0,1.1,9.54,17.77,83.14,2.6,grass,409,0.1118,0.081,,2.6,223.2,16.43,0.3,4.12,8.78,18.68,80.29,2.0,141,2016,141,0.1165,0.1118,0.081,0.3711,4.0,0.3
2016-05-21,0.1586,3.54,384.78,20.14,2.0,6.15,11.38,23.9,70.19,3.2,grass,409,0.1165,0.0829,,1.34,361.58,8.23,4.0,1.1,9.54,17.77,83.14,2.6,142,2016,142,0.1586,0.1165,0.0829,0.3698,2.0,4.0
2016-05-22,0.1591,1.28,262.01,7.47,18.7,0.41,14.38,18.94,84.77,3.8,grass,409,0.1586,0.1118,,3.54,384.78,20.14,2.0,6.15,11.38,23.9,70.19,3.2,143,2016,143,0.1591,0.1586,0.1118,0.3678,18.7,2.0
2016-05-23,0.2132,0.78,403.43,5.09,11.2,0.05,10.57,14.35,93.56,4.4,grass,409,0.1591,0.1165,,1.28,262.01,7.47,18.7,0.41,14.38,18.94,84.77,3.8,144,2016,144,0.2132,0.1591,0.1165,0.3651,11.2,18.7
2016-05-24,0.2005,1.78,320.92,11.73,0.2,0.8,9.76,14.74,78.23,5.0,grass,409,0.2132,0.1586,,0.78,403.43,5.09,11.2,0.05,10.57,14.35,93.56,4.4,145,2016,145,0.2005,0.2132,0.1586,0.3616,0.2,11.2
2016-05-25,0.1809,1.54,146.56,9.97,0.0,2.12,7.72,15.79,84.26,4.7625,grass,409,0.2005,0.1591,,1.78,320.92,11.73,0.2,0.8,9.76,14.74,78.23,5.0,146,2016,146,0.1809,0.2005,0.1591,0.3576,0.0,0.2
2016-05-26,0.1656,3.91,175.28,24.08,0.0,9.47,6.01,21.25,73.61,4.525,grass,409,0.1809,0.2132,,1.54,146.56,9.97,0.0,2.12,7.72,15.79,84.26,4.7625,147,2016,147,0.1656,0.1809,0.2132,0.353,0.0,0.0
2016-05-27,0.1539,3.29,275.83,18.84,2.4,6.19,12.12,20.96,78.57,4.2875,grass,409,0.1656,0.2005,,3.91,175.28,24.08,0.0,9.47,6.01,21.25,73.61,4.525,148,2016,148,0.1539,0.1656,0.2005,0.3478,2.4,0.0
2016-05-28,0.1872,3.81,189.68,21.74,0.0,6.73,12.35,24.2,77.8,4.05,grass,409,0.1539,0.1809,,3.29,275.83,18.84,2.4,6.19,12.12,20.96,78.57,4.2875,149,2016,149,0.1872,0.1539,0.1809,0.3421,0.0,2.4
2016-05-29,0.198,1.43,297.07,8.29,15.1,1.19,13.41,20.3,85.78,3.8125,grass,409,0.1872,0.1656,,3.81,189.68,21.74,0.0,6.73,12.35,24.2,77.8,4.05,150,2016,150,0.198,0.1872,0.1656,0.336,15.1,0.0
2016-05-30,0.3122,0.99,351.79,5.69,64.4,0.19,15.31,20.22,93.56,3.575,grass,409,0.198,0.1539,,1.43,297.07,8.29,15.1,1.19,13.41,20.3,85.78,3.8125,151,2016,151,0.3122,0.198,0.1539,0.3296,64.4,15.1
2016-05-31,0.348,2.7,222.81,15.54,0.5,5.2,13.26,22.06,79.19,3.3375,grass,409,0.3122,0.1872,,0.99,351.79,5.69,64.4,0.19,15.31,20.22,93.56,3.575,152,2016,152,0.348,0.3122,0.1872,0.3228,0.5,64.4
2016-06-01,0.3178,2.06,287.61,11.53,2.6,3.67,13.04,24.78,85.76,3.1,grass,409,0.348,0.198,,2.7,222.81,15.54,0.5,5.2,13.26,22.06,79.19,3.3375,153,2016,153,0.3178,0.348,0.198,0.3158,2.6,0.5
2016-06-02,0.2932,2.68,377.17,15.29,0.0,2.65,14.29,22.88,85.59,2.95,grass,409,0.3178,0.3122,,2.06,287.61,11.53,2.6,3.67,13.04,24.78,85.76,3.1,154,2016,154,0.2932,0.3178,0.3122,0.3087,0.0,2.6
2016-06-03,0.248,2.57,189.26,14.7,2.4,4.01,14.21,22.47,89.08,2.8,grass,409,0.2932,0.348,,2.68,377.17,15.29,0.0,2.65,14.29,22.88,85.59,2.95,155,2016,155,0.248,0.2932,0.348,0.3015,2.4,0.0
2016-06-04,0.2492,3.78,215.6,20.75,0.0,7.55,13.81,26.75,80.0,2.65,grass,409,0.248,0.3178,,2.57,189.26,14.7,2.4,4.01,14.21,22.47,89.08,2.8,156,2016,156,0.2492,0.248,0.3178,0.2943,0.0,2.4
2016-06-05,0.2057,5.13,249.03,27.66,0.0,13.75,13.78,27.94,69.77,2.5,grass,409,0.2492,0.2932,,3.78,215.6,20.75,0.0,7.55,13.81,26.75,80.0,2.65,157,2016,157,0.2057,0.2492,0.2932,0.2871,0.0,0.0
2016-06-06,0.1744,4.91,226.69,26.83,0.0,13.42,12.58,27.03,72.47,2.35,grass,409,0.2057,0.248,,5.13,249.03,27.66,0.0,13.75,13.78,27.94,69.77,2.5,158,2016,158,0.1744,0.2057,0.248,0.2801,0.0,0.0
2016-06-07,0.1458,4.08,224.78,22.12,0.0,7.58,15.0,26.74,75.24,2.2,grass,409,0.1744,0.2492,,4.91,226.69,26.83,0.0,13.42,12.58,27.03,72.47,2.35,159,2016,159,0.1458,0.1744,0.2492,0.2734,0.0,0.0
2016-06-08,0.1276,4.25,266.13,24.81,0.0,10.03,11.77,22.95,77.66,2.05,grass,409,0.1458,0.2057,,4.08,224.78,22.12,0.0,7.58,15.0,26.74,75.24,2.2,160,2016,160,0.1276,0.1458,0.2057,0.2669,0.0,0.0
2016-06-09,0.1127,4.87,245.31,29.16,0.0,13.21,9.31,21.62,64.88,1.9,grass,409,0.1276,0.1744,,4.25,266.13,24.81,0.0,10.03,11.77,22.95,77.66,2.05,161,2016,161,0.1127,0.1276,0.1744,0.2609,0.0,0.0
2016-06-10,0.1006,4.13,152.92,24.31,0.0,8.36,8.41,22.41,67.51,1.75,grass,409,0.1127,0.1458,,4.87,245.31,29.16,0.0,13.21,9.31,21.62,64.88,1.9,162,2016,162,0.1006,0.1127,0.1458,0.2552,0.0,0.0
2016-06-11,0.0963,3.05,189.17,17.45,0.0,3.82,13.06,21.93,72.08,1.6,grass,409,0.1006,0.1276,,4.13,152.92,24.31,0.0,8.36,8.41,22.41,67.51,1.75,163,2016,163,0.0963,0.1006,0.1276,0.2499,0.0,0.0
2016-06-12,0.1433,2.09,137.31,12.25,20.0,1.18,14.39,21.86,86.33,1.45,grass,409,0.0963,0.1127,,3.05,189.17,17.45,0.0,3.82,13.06,21.93,72.08,1.6,164,2016,164,0.1433,0.0963,0.1127,0.2452,20.0,0.0
2016-06-13,0.2816,1.99,281.1,11.91,12.0,1.95,13.83,19.86,91.06,1.3,grass,409,0.1433,0.1006,,2.09,137.31,12.25,20.0,1.18,14.39,21.86,86.33,1.45,165,2016,165,0.2816,0.1433,0.1006,0.2409,12.0,20.0
2016-06-14,0.2757,2.36,290.46,14.14,6.8,3.93,12.74,20.68,85.81,1.15,grass,409,0.2816,0.0963,,1.99,281.1,11.91,12.0,1.95,13.83,19.86,91.06,1.3,166,2016,166,0.2757,0.2816,0.0963,0.2372,6.8,12.0
2016-06-15,0.2988,2.52,180.8,15.39,13.5,4.01,11.21,19.24,87.51,1.0,grass,409,0.2757,0.1433,,2.36,290.46,14.14,6.8,3.93,12.74,20.68,85.81,1.15,167,2016,167,0.2988,0.2757,0.1433,0.234,13.5,6.8
2016-06-16,0.2951,3.39,158.47,20.4,13.8,7.13,8.04,21.27,80.32,0.85,grass,409,0.2988,0.2816,,2.52,180.8,15.39,13.5,4.01,11.21,19.24,87.51,1.0,168,2016,168,0.2951,0.2988,0.2816,0.2314,13.8,13.5
2016-06-17,0.3226,2.05,189.33,12.4,10.0,2.09,12.58,19.55,88.03,0.7,grass,409,0.2951,0.2757,,3.39,158.47,20.4,13.8,7.13,8.04,21.27,80.32,0.85,169,2016,169,0.3226,0.2951,0.2757,0.2294,10.0,13.8
2016-06-18,0.3125,2.36,298.22,14.49,2.5,3.37,12.28,18.55,85.27,1.025,grass,409,0.3226,0.2988,0.1087,2.05,189.33,12.4,10.0,2.09,12.58,19.55,88.03,0.7,170,2016,170,0.3125,0.3226,0.2988,0.1087,2.5,10.0
2016-06-19,0.2903,3.36,228.03,20.34,0.3,6.23,11.68,19.14,73.5,1.35,grass,409,0.3125,0.2951,0.1029,2.36,298.22,14.49,2.5,3.37,12.28,18.55,85.27,1.025,171,2016,171,0.2903,0.3125,0.2951,0.1029,0.3,2.5
2016-06-20,0.2969,1.09,439.92,6.54,17.4,0.37,13.02,18.43,86.97,1.675,grass,409,0.2903,0.3226,0.1002,3.36,228.03,20.34,0.3,6.23,11.68,19.14,73.5,1.35,172,2016,172,0.2969,0.2903,0.3226,0.1002,17.4,0.3
2016-06-21,0.3205,1.95,243.89,11.16,2.5,0.76,15.47,20.91,92.38,2.0,grass,409,0.2969,0.3125,0.0932,1.09,439.92,6.54,17.4,0.37,13.02,18.43,86.97,1.675,173,2016,173,0.3205,0.2969,0.3125,0.0932,2.5,17.4
2016-06-22,0.2944,4.12,229.57,22.39,0.0,9.71,15.24,25.46,79.15,2.325,grass,409,0.3205,0.2903,0.0882,1.95,243.89,11.16,2.5,0.76,15.47,20.91,92.38,2.0,174,2016,174,0.2944,0.3205,0.2903,0.0882,0.0,2.5
2016-06-23,0.2614,4.2,206.53,21.38,12.7,7.53,18.59,31.03,78.91,2.65,grass,409,0.2944,0.2969,0.0823,4.12,229.57,22.39,0.0,9.71,15.24,25.46,79.15,2.325,175,2016,175,0.2614,0.2944,0.2969,0.0823,12.7,0.0
2016-06-24,0.3214,2.73,225.99,14.83,0.0,3.77,14.64,23.45,83.78,2.975,grass,409,0.2614,0.3205,0.0813,4.2,206.53,21.38,12.7,7.53,18.59,31.03,78.91,2.65,176,2016,176,0.3214,0.2614,0.3205,0.0813,0.0,12.7
2016-06-25,0.3005,1.32,178.73,8.04,7.7,1.63,10.8,18.62,88.95,3.3,grass,409,0.3214,0.2944,0.0805,2.73,225.99,14.83,0.0,3.77,14.64,23.45,83.78,2.975,177,2016,177,0.3005,0.3214,0.2944,0.0805,7.7,0.0
2016-06-26,0.3092,2.82,309.69,18.24,4.5,7.49,10.97,19.48,85.51,3.1375,grass,409,0.3005,0.2614,0.081,1.32,178.73,8.04,7.7,1.63,10.8,18.62,88.95,3.3,178,2016,178,0.3092,0.3005,0.2614,0.081,4.5,7.7
2016-06-27,0.3142,1.47,318.67,8.83,6.5,2.54,10.99,17.48,89.46,2.975,grass,409,0.3092,0.3214,0.0829,2.82,309.69,18.24,4.5,7.49,10.97,19.48,85.51,3.1375,179,2016,179,0.3142,0.3092,0.3214,0.0829,6.5,4.5
2016-06-28,0.3074,3.47,215.34,20.11,7.6,5.66,10.52,22.73,75.2,2.8125,grass,409,0.3142,0.3005,0.1118,1.47,318.67,8.83,6.5,2.54,10.99,17.48,89.46,2.975,180,2016,180,0.3074,0.3142,0.3005,0.1118,7.6,6.5
2016-06-29,0.3397,2.98,398.12,17.53,2.9,4.35,13.33,20.97,78.07,2.65,grass,409,0.3074,0.3092,0.1165,3.47,215.34,20.11,7.6,5.66,10.52,22.73,75.2,2.8125,181,2016,181,0.3397,0.3074,0.3092,0.1165,2.9,7.6
2016-06-30,0.3102,1.63,373.23,9.53,5.7,1.12,14.35,19.56,87.21,2.4875,grass,409,0.3397,0.3142,0.1586,2.98,398.12,17.53,2.9,4.35,13.33,20.97,78.07,2.65,182,2016,182,0.3102,0.3397,0.3142,0.1586,5.7,2.9
2016-07-01,0.3528,1.49,428.22,8.56,11.7,0.27,14.72,20.79,87.79,2.325,grass,409,0.3102,0.3074,0.1591,1.63,373.23,9.53,5.7,1.12,14.35,19.56,87.21,2.4875,183,2016,183,0.3528,0.3102,0.3074,0.1591,11.7,5.7
2016-07-02,0.3872,3.42,421.95,20.77,2.1,7.83,9.57,19.07,76.44,2.1625,grass,409,0.3528,0.3397,0.2132,1.49,428.22,8.56,11.7,0.27,14.72,20.79,87.79,2.325,184,2016,184,0.3872,0.3528,0.3397,0.2132,2.1,11.7
2016-07-03,0.3375,3.42,292.0,20.52,0.4,8.39,9.97,20.5,74.76,2.0,grass,409,0.3872,0.3102,0.2005,3.42,421.95,20.77,2.1,7.83,9.57,19.07,76.44,2.1625,185,2016,185,0.3375,0.3872,0.3102,0.2005,0.4,2.1
2016-07-04,0.2956,3.53,139.86,20.55,0.0,9.59,9.65,22.53,77.3,1.9875,grass,409,0.3375,0.3528,0.1809,3.42,292.0,20.52,0.4,8.39,9.97,20.5,74.76,2.0,186,2016,186,0.2956,0.3375,0.3528,0.1809,0.0,0.4
2016-07-05,0.2599,2.1,408.36,12.6,1.6,4.39,10.11,20.45,82.47,1.975,grass,409,0.2956,0.3872,0.1656,3.53,139.86,20.55,0.0,9.59,9.65,22.53,77.3,1.9875,187,2016,187,0.2599,0.2956,0.3872,0.1656,1.6,0.0
2016-07-06,0.235,3.93,255.05,23.75,0.0,11.23,8.6,20.38,75.26,1.9625,grass,409,0.2599,0.3375,0.1539,2.1,408.36,12.6,1.6,4.39,10.11,20.45,82.47,1.975,188,2016,188,0.235,0.2599,0.3375,0.1539,0.0,1.6
2016-07-07,0.1869,3.7,182.23,21.59,0.0,7.41,7.06,22.39,73.04,1.95,grass,409,0.235,0.2956,0.1872,3.93,255.05,23.75,0.0,11.23,8.6,20.38,75.26,1.9625,189,2016,189,0.1869,0.235,0.2956,0.1872,0.0,0.0
2016-07-08,0.1657,2.21,323.84,12.59,0.0,2.81,14.49,21.56,77.05,1.9375,grass,409,0.1869,0.2599,0.198,3.7,182.23,21.59,0.0,7.41,7.06,22.39,73.04,1.95,190,2016,190,0.1657,0.1869,0.2599,0.198,0.0,0.0
2016-07-09,0.1525,3.4,282.86,18.76,0.0,4.08,14.53,24.49,76.38,1.925,grass,409,0.1657,0.235,0.3122,2.21,323.84,12.59,0.0,2.81,14.49,21.56,77.05,1.9375,191,2016,191,0.1525,0.1657,0.235,0.3122,0.0,0.0
2016-07-10,0.1403,4.55,330.74,24.08,0.0,9.85,15.26,29.31,70.15,1.9125,grass,409,0.1525,0.1869,0.348,3.4,282.86,18.76,0.0,4.08,14.53,24.49,76.38,1.925,192,2016,192,0.1403,0.1525,0.1869,0.348,0.0,0.0
2016-07-11,0.1268,3.14,501.0,17.56,0.0,6.83,15.44,23.09,67.35,1.9,grass,409,0.1403,0.1657,0.3178,4.55,330.74,24.08,0.0,9.85,15.26,29.31,70.15,1.9125,193,2016,193,0.1268,0.1403,0.1657,0.3178,0.0,0.0
2016-07-12,0.1202,3.71,295.41,21.75,0.8,7.4,12.52,23.17,77.24,1.875,grass,409,0.1268,0.1525,0.2932,3.14,501.0,17.56,0.0,6.83,15.44,23.09,67.35,1.9,194,2016,194,0.1202,0.1268,0.1525,0.2932,0.8,0.0
2016-07-13,0.1618,2.19,235.72,13.56,5.4,4.45,10.05,18.8,83.55,1.85,grass,409,0.1202,0.1403,0.248,3.71,295.41,21.75,0.8,7.4,12.52,23.17,77.24,1.875,195,2016,195,0.1618,0.1202,0.1403,0.248,5.4,0.8
2016-07-14,0.1879,3.18,304.42,19.49,0.0,7.52,7.46,19.84,74.46,1.825,grass,409,0.1618,0.1268,0.2492,2.19,235.72,13.56,5.4,4.45,10.05,18.8,83.55,1.85,196,2016,196,0.1879,0.1618,0.1268,0.2492,0.0,5.4
2016-07-15,0.139,3.33,245.15,19.41,0.0,9.32,9.08,21.68,72.4,1.8,grass,409,0.1879,0.1202,0.2057,3.18,304.42,19.49,0.0,7.52,7.46,19.84,74.46,1.825,197,2016,197,0.139,0.1879,0.1202,0.2057,0.0,0.0
2016-07-16,0.1253,2.21,284.89,12.33,0.0,2.55,14.42,24.01,79.61,1.775,grass,409,0.139,0.1618,0.1744,3.33,245.15,19.41,0.0,9.32,9.08,21.68,72.4,1.8,198,2016,198,0.1253,0.139,0.1618,0.1744,0.0,0.0
2016-07-17,0.124,2.47,252.04,13.84,0.4,5.42,13.62,24.57,81.65,1.75,grass,409,0.1253,0.1879,0.1458,2.21,284.89,12.33,0.0,2.55,14.42,24.01,79.61,1.775,199,2016,199,0.124,0.1253,0.1879,0.1458,0.4,0.0
2016-07-18,0.1158,4.53,164.48,24.26,0.0,11.49,12.42,27.86,72.18,1.725,grass,409,0.124,0.139,0.1276,2.47,252.04,13.84,0.4,5.42,13.62,24.57,81.65,1.75,200,2016,200,0.1158,0.124,0.139,0.1276,0.0,0.4
2016-07-19,0.1054,5.18,172.05,26.72,0.0,14.74,12.8,30.51,61.11,1.7,grass,409,0.1158,0.1253,0.1127,4.53,164.48,24.26,0.0,11.49,12.42,27.86,72.18,1.725,201,2016,201,0.1054,0.1158,0.1253,0.1127,0.0,0.0
2016-07-20,0.0973,4.72,278.29,23.83,2.0,11.21,17.89,34.63,62.93,1.725,grass,409,0.1054,0.124,0.1006,5.18,172.05,26.72,0.0,14.74,12.8,30.51,61.11,1.7,202,2016,202,0.0973,0.1054,0.124,0.1006,2.0,0.0
2016-07-21,0.093,4.53,211.87,23.98,11.8,10.61,16.03,28.11,73.39,1.75,grass,409,0.0973,0.1158,0.0963,4.72,278.29,23.83,2.0,11.21,17.89,34.63,62.93,1.725,203,2016,203,0.093,0.0973,0.1158,0.0963,11.8,2.0
2016-07-22,0.1976,3.05,183.69,16.48,0.0,5.62,17.31,26.04,82.53,1.775,grass,409,0.093,0.1054,0.1433,4.53,211.87,23.98,11.8,10.61,16.03,28.11,73.39,1.75,204,2016,204,0.1976,0.093,0.1054,0.1433,0.0,11.8
2016-07-23,0.2015,3.35,218.08,17.93,0.0,5.84,17.78,26.59,83.45,1.8,grass,409,0.1976,0.0973,0.2816,3.05,183.69,16.48,0.0,5.62,17.31,26.04,82.53,1.775,205,2016,205,0.2015,0.1976,0.0973,0.2816,0.0,0.0
2016-07-24,0.1511,2.8,133.77,15.28,0.0,5.24,16.3,26.45,82.94,1.825,grass,409,0.2015,0.093,0.2757,3.35,218.08,17.93,0.0,5.84,17.78,26.59,83.45,1.8,206,2016,206,0.1511,0.2015,0.093,0.2757,0.0,0.0
2016-07-25,0.1314,2.44,225.88,13.4,0.0,3.1,14.28,24.44,81.27,1.85,grass,409,0.1511,0.1976,0.2988,2.8,133.77,15.28,0.0,5.24,16.3,26.45,82.94,1.825,207,2016,207,0.1314,0.1511,0.1976,0.2988,0.0,0.0
2016-07-26,0.1182,3.31,131.08,18.65,0.0,6.3,11.18,24.45,74.12,1.875,grass,409,0.1314,0.2015,0.2951,2.44,225.88,13.4,0.0,3.1,14.28,24.44,81.27,1.85,208,2016,208,0.1182,0.1314,0.2015,0.2951,0.0,0.0
2016-07-27,0.1092,2.83,312.32,15.87,2.1,4.57,14.16,22.6,79.49,1.9,grass,409,0.1182,0.1511,0.3226,3.31,131.08,18.65,0.0,6.3,11.18,24.45,74.12,1.875,209,2016,209,0.1092,0.1182,0.1511,0.3226,2.1,0.0
2016-07-28,0.1277,2.51,239.06,14.0,6.3,3.34,15.8,24.12,83.71,1.7125,grass,409,0.1092,0.1314,0.3125,2.83,312.32,15.87,2.1,4.57,14.16,22.6,79.49,1.9,210,2016,210,0.1277,0.1092,0.1314,0.3125,6.3,2.1
2016-07-29,0.2041,2.39,326.27,13.56,2.3,3.25,15.21,23.05,82.34,1.525,grass,409,0.1277,0.1182,0.2903,2.51,239.06,14.0,6.3,3.34,15.8,24.12,83.71,1.7125,211,2016,211,0.2041,0.1277,0.1182,0.2903,2.3,6.3
2016-07-30,0.1489,1.79,221.98,10.17,0.8,1.64,14.09,22.33,87.56,1.3375,grass,409,0.2041,0.1092,0.2969,2.39,326.27,13.56,2.3,3.25,15.21,23.05,82.34,1.525,212,2016,212,0.1489,0.2041,0.1092,0.2969,0.8,2.3
2016-07-31,0.1553,2.61,225.81,15.18,1.4,5.4,11.67,20.91,81.46,1.15,grass,409,0.1489,0.1277,0.3205,1.79,221.98,10.17,0.8,1.64,14.09,22.33,87.56,1.3375,213,2016,213,0.1553,0.1489,0.1277,0.3205,1.4,0.8
2016-08-01,0.1665,2.69,227.59,15.8,8.7,5.41,11.41,21.75,80.1,0.9625,grass,409,0.1553,0.2041,0.2944,2.61,225.81,15.18,1.4,5.4,11.67,20.91,81.46,1.15,214,2016,214,0.1665,0.1553,0.2041,0.2944,8.7,1.4
2016-08-02,0.2168,1.04,292.54,6.14,10.3,0.04,13.39,18.33,96.05,0.775,grass,409,0.1665,0.1489,0.2614,2.69,227.59,15.8,8.7,5.41,11.41,21.75,80.1,0.9625,215,2016,215,0.2168,0.1665,0.1489,0.2614,10.3,8.7
2016-08-03,0.2674,0.78,453.05,4.5,13.7,0.64,15.65,19.58,93.65,0.5875,grass,409,0.2168,0.1553,0.3214,1.04,292.54,6.14,10.3,0.04,13.39,18.33,96.05,0.775,216,2016,216,0.2674,0.2168,0.1553,0.3214,13.7,10.3
2016-08-04,0.2586,2.25,404.05,13.03,2.2,4.04,12.68,20.95,81.26,0.4,grass,409,0.2674,0.1665,0.3005,0.78,453.05,4.5,13.7,0.64,15.65,19.58,93.65,0.5875,217,2016,217,0.2586,0.2674,0.1665,0.3005,2.2,13.7
2016-08-05,0.2221,3.14,280.79,18.3,0.4,7.97,11.34,23.04,80.62,0.7,grass,409,0.2586,0.2168,0.3092,2.25,404.05,13.03,2.2,4.04,12.68,20.95,81.26,0.4,218,2016,218,0.2221,0.2586,0.2168,0.3092,0.4,2.2
2016-08-06,0.1714,2.66,268.35,15.61,0.8,6.36,9.71,23.06,83.5,1.0,grass,409,0.2221,0.2674,0.3142,3.14,280.79,18.3,0.4,7.97,11.34,23.04,80.62,0.7,219,2016,219,0.1714,0.2221,0.2674,0.3142,0.8,0.4
2016-08-07,0.1372,2.73,372.37,15.39,0.0,5.83,9.77,23.79,78.12,1.3,grass,409,0.1714,0.2586,0.3074,2.66,268.35,15.61,0.8,6.36,9.71,23.06,83.5,1.0,220,2016,220,0.1372,0.1714,0.2586,0.3074,0.0,0.8
2016-08-08,0.1179,2.76,386.54,16.0,0.8,6.28,12.32,21.9,74.11,1.6,grass,409,0.1372,0.2221,0.3397,2.73,372.37,15.39,0.0,5.83,9.77,23.79,78.12,1.3,221,2016,221,0.1179,0.1372,0.2221,0.3397,0.8,0.0
2016-08-09,0.0992,2.43,245.6,15.28,2.9,6.6,9.86,18.99,79.94,1.9,grass,409,0.1179,0.1714,0.3102,2.76,386.54,16.0,0.8,6.28,12.32,21.9,74.11,1.6,222,2016,222,0.0992,0.1179,0.1714,0.3102,2.9,0.8
2016-08-10,0.1158,2.93,225.77,18.82,0.5,8.6,7.04,17.61,79.08,2.2,grass,409,0.0992,0.1372,0.3528,2.43,245.6,15.28,2.9,6.6,9.86,18.99,79.94,1.9,223,2016,223,0.1158,0.0992,0.1372,0.3528,0.5,2.9
2016-08-11,0.122,0.95,360.9,6.0,7.1,0.29,5.84,15.88,92.9,2.5,grass,409,0.1158,0.1179,0.3872,2.93,225.77,18.82,0.5,8.6,7.04,17.61,79.08,2.2,224,2016,224,0.122,0.1158,0.1179,0.3872,7.1,0.5
2016-08-12,0.1744,2.31,327.35,12.95,0.0,3.97,15.09,23.08,86.91,2.8,grass,409,0.122,0.0992,0.3375,0.95,360.9,6.0,7.1,0.29,5.84,15.88,92.9,2.5,225,2016,225,0.1744,0.122,0.0992,0.3375,0.0,7.1
2016-08-13,0.1372,2.36,294.87,13.43,0.0,4.07,13.51,22.73,83.57,2.8375,grass,409,0.1744,0.1158,0.2956,2.31,327.35,12.95,0.0,3.97,15.09,23.08,86.91,2.8,226,2016,226,0.1372,0.1744,0.1158,0.2956,0.0,0.0
2016-08-14,0.1093,2.61,156.27,15.16,0.0,4.1,11.33,22.67,75.94,2.875,grass,409,0.1372,0.122,0.2599,2.36,294.87,13.43,0.0,4.07,13.51,22.73,83.57,2.8375,227,2016,227,0.1093,0.1372,0.122,0.2599,0.0,0.0
2016-08-15,0.0857,4.01,221.04,23.18,0.0,12.05,10.49,22.18,73.9,2.9125,grass,409,0.1093,0.1744,0.235,2.61,156.27,15.16,0.0,4.1,11.33,22.67,75.94,2.875,228,2016,228,0.0857,0.1093,0.1744,0.235,0.0,0.0
