date,VWC5,EV24,FG,Q,rd,SQ,TN,TX,UG,LAI,Crop,BOFEK,VWC5_lag,VWC5_lag3,VWC5_lag40,EV24_lag,FG_lag,Q_lag,rd_lag,SQ_lag,TN_lag,TX_lag,UG_lag,LAI_lag,DOY,year,date_encoded,VWC5_imputed,VWC5_lag_imputed,VWC5_lag3_imputed,VWC5_lag40_imputed,rd_imputed,rd_lag_imputed
2016-05-09,0.1087,4.58,445.61,25.13,0.0,12.37,13.67,25.65,50.85,3.35,grass,409,,,,4.87,433.77,26.68,0.0,14.5,12.49,25.63,44.91,3.8,130,2016,130,0.1087,0.2313,0.2357,0.333,0.0,0.0
2016-05-10,0.1029,2.02,268.16,11.37,0.0,0.92,14.79,22.32,66.71,2.9,grass,409,0.1087,,,4.58,445.61,25.13,0.0,12.37,13.67,25.65,50.85,3.35,131,2016,131,0.1029,0.1087,0.2328,0.3401,0.0,0.0
2016-05-11,0.1002,4.14,317.09,22.82,0.0,10.58,14.12,26.11,58.72,2.45,grass,409,0.1029,,,2.02,268.16,11.37,0.0,0.92,14.79,22.32,66.71,2.9,132,2016,132,0.1002,0.1029,0.2304,0.3466,0.0,0.0
2016-05-12,0.0932,4.62,443.42,26.11,0.0,14.02,13.54,25.25,51.04,2.0,grass,409,0.1002,0.1087,,4.14,317.09,22.82,0.0,10.58,14.12,26.11,58.72,2.45,133,2016,133,0.0932,0.1002,0.1087,0.3524,0.0,0.0
2016-05-13,0.0882,4.38,438.91,25.86,0.0,13.02,8.81,23.8,57.36,1.55,grass,409,0.0932,0.1029,,4.62,443.42,26.11,0.0,14.02,13.54,25.25,51.04,2.0,134,2016,134,0.0882,0.0932,0.1029,0.3575,0.0,0.0
2016-05-14,0.0823,2.41,426.49,17.11,0.0,5.77,5.25,13.17,65.86,1.1,grass,409,0.0882,0.1002,,4.38,438.91,25.86,0.0,13.02,8.81,23.8,57.36,1.55,135,2016,135,0.0823,0.0882,0.1002,0.3619,0.0,0.0
2016-05-15,0.0813,2.7,375.76,19.41,0.0,8.11,4.04,13.23,66.53,0.65,grass,409,0.0823,0.0932,,2.41,426.49,17.11,0.0,5.77,5.25,13.17,65.86,1.1,136,2016,136,0.0813,0.0823,0.0932,0.3654,0.0,0.0
2016-05-16,0.0805,1.97,237.8,13.68,0.0,3.21,2.69,13.17,72.37,0.2,grass,409,0.0813,0.0882,,2.7,375.76,19.41,0.0,8.11,4.04,13.23,66.53,0.65,137,2016,137,0.0805,0.0813,0.0882,0.3682,0.0,0.0
2016-05-17,0.081,2.06,258.97,13.43,0.0,4.31,6.82,18.88,68.27,0.8,grass,409,0.0805,0.0823,,1.97,237.8,13.68,0.0,3.21,2.69,13.17,72.37,0.2,138,2016,138,0.081,0.0805,0.0823,0.3701,0.0,0.0
2016-05-18,0.0829,2.25,295.91,14.06,3.7,3.51,7.65,20.04,74.56,1.4,grass,409,0.081,0.0813,,2.06,258.97,13.43,0.0,4.31,6.82,18.88,68.27,0.8,139,2016,139,0.0829,0.081,0.0813,0.3712,3.7,0.0
